tScaled  C  D
0.133  1.0001299525915943  0.0001458595784260381
0.134  1.0001239838368903  0.00015222076258357444
0.135  1.0001176437389772  0.00015880588010567392
0.136  1.000110925501735  0.00016562099546866592
0.137  1.0001038223293486  0.00017267229054651587
0.138  1.0000963274263164  0.0001799660660414022
0.139  1.0000884339974685  0.00018750874292250874
0.14  1.0000801352479778  0.00019530686387303495
0.141  1.0000714243833728  0.00020336709474541985
0.142  1.000062294609553  0.00021169622602478443
0.143  1.0000527391328022  0.00022030117430058905
0.144  1.0000427511598033  0.00022918898374650737
0.145  1.0000323238976527  0.00023836682760851652
0.146  1.000021450553876  0.00024784200970120324
0.147  1.00001012433644  0.0002576219659122863
0.148  0.9999983384537724  0.0002677142657153557
0.149  0.9999860861147741  0.0002781266136908267
0.15  0.9999733605288362  0.00028886685105511135
0.151  0.9999601549058554  0.0002999429571980054
0.152  0.9999464624562511  0.00031136305122829227
0.153  0.9999322763909805  0.0003231353935275621
0.154  0.9999175899215568  0.0003352683873122476
0.155  0.9999023962600643  0.00034777058020387714
0.156  0.999886688619178  0.0003606506658075408
0.157  0.9998704602121782  0.00037391748529857723
0.158  0.9998537042529704  0.0003875800290174716
0.159  0.999836413956101  0.00040164743807297496
0.16  0.9998185825367779  0.000416129005953435
0.161  0.9998002032108866  0.000431034180146347
0.162  0.9997812691950092  0.0004463725637661174
0.163  0.9997617737064439  0.0004621539171900476
0.164  0.9997417099632242  0.00047838815970252876
0.165  0.9997210711841361  0.0004950853711474588
0.166  0.9996998505887397  0.0005122557935888696
0.167  0.9996780413973876  0.0005299098329797758
0.168  0.999655636831246  0.000548058060839235
0.169  0.9996326301123134  0.000566711215937629
0.17  0.9996090144634422  0.0005858802059901561
0.171  0.9995847831083583  0.0006055761093585446
0.172  0.9995599292716827  0.000625810176760977
0.173  0.9995344461789522  0.0006465938329902373
0.174  0.9995083270566407  0.0006679386786400668
0.175  0.999481565132181  0.0006898564918397415
0.176  0.9994541536339858  0.0007123592299968666
0.177  0.9994260857914712  0.0007354590315483802
0.178  0.9993973548350769  0.0007591682177197812
0.179  0.99936795399629  0.0007834992942925676
0.18  0.9993378765076678  0.0008084649533798954
0.181  0.9993071156028598  0.0008340780752104487
0.182  0.9992756645166317  0.0008603517299205321
0.183  0.9992435164848881  0.0008872991793543748
0.184  0.999210664744696  0.0009149338788726515
0.185  0.9991771025343101  0.0009432694791692195
0.186  0.9991428230931948  0.0009723198280960755
0.187  0.99910781966205  0.001002098972496522
0.188  0.9990720854828352  0.0010326211600465572
0.189  0.9990356137987937  0.0010639008411044743
0.19  0.9989983978544789  0.0010959526705686842
0.191  0.9989604308957771  0.0011287915097437447
0.192  0.9989217061699366  0.0011624324282146182
0.193  0.9988822169255898  0.001196890705729132
0.194  0.9988419564127814  0.0012321818340886683
0.195  0.9988009178829935  0.001268321519047059
0.196  0.9987590945891723  0.0013053256822177048
0.197  0.9987164797857551  0.0013432104629889034
0.198  0.9986730667286955  0.0013819922204474045
0.199  0.9986288486754932  0.001421687535310166
0.2  0.9985838188852191  0.0014623132118643408
0.201  0.9985379706185431  0.0015038862799154693
0.202  0.9984912971377632  0.0015464239967438967
0.203  0.9984437917068317  0.0015899438490693978
0.204  0.9983954475913854  0.001634463555024025
0.205  0.9983462580587716  0.0016800010661331716
0.206  0.9982962163780791  0.0017265745693048446
0.207  0.9982453158201663  0.0017742024888271622
0.208  0.9981935496576891  0.0018229034883740633
0.209  0.998140911165133  0.0018726964730192328
0.21  0.9980873936188398  0.0019236005912582471
0.211  0.9980329902970398  0.0019756352370389283
0.212  0.9979776944798797  0.0020288200517999213
0.213  0.997921499449455  0.002083174926517488
0.214  0.9978643984898395  0.00213872000376051
0.215  0.9978063848871155  0.002195475679753712
0.216  0.9977474519294065  0.0022534626064491057
0.217  0.9976875929069063  0.0023127016936056433
0.218  0.9976268011119124  0.002373214110877087
0.219  0.9975650070599156  0.002435015463281417
0.22  0.997502018809597  0.0024981093827816697
0.221  0.9974378018452312  0.002562513395952682
0.222  0.9973723320425845  0.002628246092303573
0.223  0.9973055852829449  0.002695326184216486
0.224  0.9972375374532738  0.0027637725064637605
0.225  0.9971681644463662  0.0028336040157256204
0.226  0.9970974421610075  0.0029048397901082893
0.227  0.9970253465021383  0.0029774990286626137
0.228  0.9969518533810189  0.0030516010509031443
0.229  0.9968769387153988  0.0031271652963276893
0.23  0.9968005784296889  0.0032042113239373524
0.231  0.9967227484551345  0.0032827588117570273
0.232  0.9966434247299937  0.003362827556356383
0.233  0.9965625831997188  0.0034444374723713116
0.234  0.9964801998171383  0.0035276085920258487
0.235  0.9963962505426439  0.0036123610646545774
0.236  0.9963107113443797  0.0036987151562254917
0.237  0.9962235581984352  0.0037866912488633483
0.238  0.9961347670890397  0.003876309840373474
0.239  0.9960443140087605  0.003967591543766067
0.24  0.9959521749587041  0.004060557086780954
0.241  0.9958583259487218  0.004155227311412827
0.242  0.995762742997614  0.004251623173436962
0.243  0.9956654021333415  0.0043497657419353875
0.244  0.9955662793932394  0.004449676198823564
0.245  0.9954653508242318  0.0045513758383774906
0.246  0.9953625924830504  0.004654886066761324
0.247  0.9952579804364565  0.004760228401555461
0.248  0.9951514907614668  0.004867424471285065
0.249  0.9950430995455797  0.004976496014949119
0.25  0.994932782887006  0.005087464881549905
0.251  0.9948205168949033  0.005200353029622977
0.252  0.9947062776896112  0.005315182526767609
0.253  0.9945900414028926  0.005431975549177709
0.254  0.9944717841781745  0.005550754381173217
0.255  0.994351482170793  0.005671541414731962
0.256  0.994229111548244  0.005794359149021996
0.257  0.9941046484904307  0.00591923018993441
0.258  0.9939780691899216  0.006046177249616623
0.259  0.9938493498522055  0.006175223146006136
0.26  0.9937184666959515  0.006306390802364752
0.261  0.9935853959532721  0.006439703246813294
0.262  0.9934501138699906  0.0065751836118667795
0.263  0.9933125967059081  0.006712855133970069
0.264  0.9931728207350764  0.006852741153033991
0.265  0.9930307622460722  0.0069948651119719355
0.266  0.9928863975422748  0.0071392505562369295
0.267  0.9927397029421486  0.007285921133359183
0.268  0.9925906547795239  0.007434900592484103
0.269  0.9924392294038847  0.00758621278391078
0.27  0.9922854031806596  0.007739881658630971
0.271  0.9921291524915121  0.007895931267868504
0.272  0.9919704537346368  0.008054385762619222
0.273  0.9918092833250582  0.00821526939319135
0.274  0.9916456176949321  0.008378606508746354
0.275  0.9914794332938487  0.008544421556840275
0.276  0.9913107065891409  0.008712739082965533
0.277  0.9911394140661942  0.008883583730093203
0.278  0.9909655322287594  0.009056980238215767
0.279  0.9907890375992691  0.00923295344389034
0.28  0.9906099067191562  0.00941152827978236
0.281  0.9904281161491768  0.009592729774209767
0.282  0.9902436424697343  0.009776583050687652
0.283  0.9900564622812066  0.009963113327473355
0.284  0.989866552204278  0.010152345917112076
0.285  0.9896738888802731  0.010344306225982933
0.286  0.9894784489714921  0.010539019753845495
0.287  0.9892802091615515  0.010736512093386795
0.288  0.9890791461557266  0.010936808929768824
0.289  0.9888752366812965  0.011139936040176466
0.29  0.9886684574878922  0.011345919293365961
0.291  0.9884587853478501  0.011554784649213775
0.292  0.9882461970565638  0.011766558158266008
0.293  0.9880306694328423  0.01198126596128823
0.294  0.987812179319271  0.012198934288815794
0.295  0.9875907035825734  0.012419589460704664
0.296  0.9873662191139794  0.01264325788568266
0.297  0.9871387028295917  0.012869966060901213
0.298  0.9869081316707601  0.013099740571487575
0.299  0.9866744826044549  0.013332608090097531
0.3  0.9864377326236456  0.013568595376468534
0.301  0.9861978587476818  0.013807729276973367
0.302  0.9859548380226771  0.014050036724174238
0.303  0.9857086475218949  0.014295544736377373
0.304  0.9854592643461388  0.014544280417188079
0.305  0.9852066656241458  0.014796270955066252
0.306  0.9849508285129808  0.015051543622882418
0.307  0.9846917301984357  0.01531012577747417
0.308  0.9844293478954312  0.015572044859203153
0.309  0.9841636588484203  0.015837328391512483
0.31  0.9838946403317963  0.016106003980484604
0.311  0.9836222696503033  0.016378099314399725
0.312  0.9833465241394497  0.01665364216329462
0.313  0.9830673811659225  0.01693266037852197
0.314  0.9827848181022469  0.01721518188778732
0.315  0.9824987543382679  0.017501223526080037
0.316  0.9822091158257007  0.017790799512248604
0.317  0.9819158827538909  0.01808393260609861
0.318  0.9816190353451029  0.018380645484733782
0.319  0.9813185538549147  0.018680960740566768
0.32  0.9810144185726211  0.018984900879340166
0.321  0.980706609821633  0.01929248831815791
0.322  0.980395107959885  0.019603745383527
0.323  0.98007989338024  0.019918694309409415
0.324  0.9797609465109002  0.020237357235284515
0.325  0.9794382478158186  0.020559756204221638
0.326  0.9791117777951108  0.020885913160963
0.327  0.9787815169854761  0.021215849950017004
0.328  0.9784474459606115  0.021549588313761785
0.329  0.9781095453316351  0.02188714989055911
0.33  0.9777677957475086  0.02222855621287852
0.331  0.9774221778954644  0.022573828705431898
0.332  0.9770726725014324  0.02292298868331825
0.333  0.9767192603304699  0.02327605735017886
0.334  0.976361922187196  0.023633055796362733
0.335  0.9760006389162259  0.023994004997102338
0.336  0.9756353914026071  0.02435892581069969
0.337  0.9752661605722612  0.024727838976722764
0.338  0.9748929273924246  0.025100765114212147
0.339  0.9745156728720934  0.025477724719898086
0.34  0.9741343780624689  0.025858738166427815
0.341  0.9737490240574098  0.026243825700603175
0.342  0.9733595919938798  0.026633007441628574
0.343  0.9729660630524036  0.027026303379369242
0.344  0.9725684184575227  0.027423733372619854
0.345  0.9721666394782529  0.02782531714738336
0.346  0.9717607074285457  0.02823107429516026
0.347  0.9713506036677524  0.02864102427124804
0.348  0.9709363096010872  0.029055186393051085
0.349  0.9705178066800967  0.029473579838400793
0.35  0.9700950764031291  0.029896223643886003
0.351  0.9696681003158074  0.030323136703193823
0.352  0.9692368600115029  0.030754337765460688
0.353  0.9688013371318135  0.031189845433633723
0.354  0.9683615133670433  0.03162967816284253
0.355  0.9679173704566824  0.03207385425878117
0.356  0.967468890189893  0.03252239187610049
0.357  0.9670160544059951  0.03297530901681079
0.358  0.9665588449949549  0.033432623528694805
0.359  0.9660972438978765  0.03389435310373097
0.36  0.9656312331074943  0.03436051527652697
0.361  0.9651607946686703  0.03483112742276372
0.362  0.9646859106788911  0.035306206757649554
0.363  0.9642065632887677  0.03578577033438472
0.364  0.9637227347025403  0.03626983504263625
0.365  0.9632344071785818  0.03675841760702315
0.366  0.9627415630299048  0.03725153458561183
0.367  0.9622441846246726  0.03774920236842189
0.368  0.9617422543867115  0.03825143717594226
0.369  0.9612357547960234  0.038758255057657516
0.37  0.9607246683893048  0.03926967189058474
0.371  0.9602089777604637  0.03978570337782043
0.372  0.9596886655611424  0.04030636504709794
0.373  0.9591637145012416  0.040831672249355085
0.374  0.9586341073494449  0.04136164015731217
0.375  0.9580998269337488  0.04189628376406022
0.376  0.9575608561419924  0.042435617881659615
0.377  0.9570171779223916  0.042979657139749085
0.378  0.9564687752840728  0.04352841598416474
0.379  0.9559156312976123  0.04408190867556982
0.38  0.9553577290955757  0.044640149288094455
0.381  0.9547950518730608  0.045203151707985854
0.382  0.954227582888241  0.045770929632268746
0.383  0.9536553054629147  0.04634349656741625
0.384  0.9530782029830521  0.04692086582803095
0.385  0.9524962588993489  0.04750305053553626
0.386  0.9519094567277799  0.0480900636168783
0.387  0.9513177800501551  0.048681917803237815
0.388  0.9507212125146787  0.049278625628752556
0.389  0.9501197378365103  0.04988019942925003
0.39  0.9495133397983279  0.050486651340990465
0.391  0.9489019974671922  0.05109799139757609
0.392  0.948285659359044  0.05171421306107763
0.393  0.9476643182688489  0.052335319406575806
0.394  0.9470379779738585  0.052961316819238685
0.395  0.9464066422959617  0.05359221137133322
0.396  0.9457703151017243  0.05422800882057275
0.397  0.9451290003024224  0.05486871460848536
0.398  0.944482701854083  0.05551433385880326
0.399  0.943831423757517  0.056164871375873004
0.4  0.9431751700583589  0.056820331643086606
0.401  0.9425139448471022  0.05748071882133361
0.402  0.9418477522591371  0.058146036747474185
0.403  0.9411765964747865  0.0588162889328328
0.404  0.940500481719343  0.05949147856171323
0.405  0.9398194122631072  0.060171608489934185
0.406  0.9391333924214222  0.06085668124338599
0.407  0.9384424265547122  0.061546699016608065
0.408  0.937746519068519  0.062241663671387566
0.409  0.9370456744135389  0.06294157673537853
0.41  0.9363398970856591  0.06364643940074236
0.411  0.9356291916259956  0.06435625252280895
0.412  0.93491356262093  0.06507101661875889
0.413  0.9341930147021453  0.0657907318663264
0.414  0.9334675525466634  0.06651539810252338
0.415  0.9327371808768833  0.06724501482238425
0.416  0.9320019044606169  0.06797958117773177
0.417  0.9312617281111257  0.06871909597596368
0.418  0.9305166566871585  0.0694635576788603
0.419  0.9297666950929886  0.07021296440141322
0.42  0.9290118482784497  0.07096731391067462
0.421  0.9282521212389744  0.07172660362462768
0.422  0.9274875190156296  0.07249083061107772
0.423  0.9267180466951555  0.07325999158656464
0.424  0.9259437094100009  0.0740340829152959
0.425  0.9251645123383607  0.07481310060810037
0.426  0.9243804607042139  0.07559704032140367
0.427  0.92359155977736  0.07638589735622374
0.428  0.9227978148734552  0.07717966665718747
0.429  0.9219992313540514  0.07797834281156885
0.43  0.9211958146266317  0.0787819200483471
0.431  0.9203875701446486  0.0795903922372864
0.432  0.9195745034075603  0.0804037528880364
0.433  0.9187566199608687  0.08122199514925334
0.434  0.9179339253961549  0.08204511180774253
0.435  0.9171064253511191  0.08287309528762121
0.436  0.9162741255096152  0.08370593764950315
0.437  0.915437031601689  0.08454363058970311
0.438  0.9145951494036157  0.08538616543946304
0.439  0.9137484847379365  0.0862335331641989
0.44  0.9128970434734962  0.0870857243627684
0.441  0.9120408315254803  0.08794272926675949
0.442  0.911179854855452  0.08880453773980027
0.443  0.9103141194713901  0.08967113927688919
0.444  0.909443631427725  0.09054252300374654
0.445  0.908568396825377  0.09141867767618689
0.446  0.9076884218117945  0.0922995916795121
0.447  0.906803712580988  0.09318525302792564
0.448  0.9059142753735709  0.09407564936396773
0.449  0.9050201164767955  0.094970767957971
0.45  0.9041212422245888  0.09587059570753781
0.451  0.9032176589975922  0.09677511913703765
0.452  0.9023093732231977  0.09768432439712628
0.453  0.9013963913755851  0.0985981972642849
0.454  0.90047871997576  0.09951672314038111
0.455  0.8995563655915896  0.1004398870522503
0.456  0.8986293348378426  0.10136767365129774
0.457  0.8976976343762239  0.10230006721312236
0.458  0.8967612709154138  0.10323705163716053
0.459  0.8958202512111052  0.1041786104463514
0.46  0.8948745820660392  0.10512472678682298
0.461  0.8939242703300457  0.10607538342759908
0.462  0.8929693229000776  0.10703056276032703
0.463  0.8920097467202501  0.10799024679902659
0.464  0.8910455564433871  0.10895441028547301
0.465  0.8900767937208011  0.109923013855126
0.466  0.8891034916001685  0.11089603667456338
0.467  0.8881256820116541  0.111873458875998
0.468  0.8871433968764764  0.11285526021322322
0.469  0.8861566681062383  0.11384142006151507
0.47  0.8851655276022627  0.11483191741755545
0.471  0.8841700072549303  0.11582673089937653
0.472  0.8831701389430201  0.11682583874632574
0.473  0.8821659545330539  0.11782921881905181
0.474  0.8811574858786435  0.1188368485995115
0.475  0.8801447648198408  0.11984870519099738
0.476  0.8791278231824918  0.12086476531818671
0.477  0.8781066927775936  0.12188500532721068
0.478  0.8770814054006525  0.12290940118574487
0.479  0.8760519928310491  0.1239379284831207
0.48  0.8750184868314032  0.12497056243045769
0.481  0.8739809191469436  0.12600727786081622
0.482  0.8729393215048796  0.1270480492293721
0.483  0.8718937256137774  0.12809285061361061
0.484  0.8708441631629386  0.12914165571354308
0.485  0.8697906658217819  0.13019443785194335
0.486  0.8687332652392276  0.1312511699746049
0.487  0.8676719930430864  0.1323118246506196
0.488  0.8666068808394501  0.1333763740726773
0.489  0.865537960212086  0.1344447900573857
0.49  0.8644652627218351  0.13551704404561132
0.491  0.8633888199060115  0.13659310710284206
0.492  0.8623086632778072  0.13767294991956963
0.493  0.8612248243256986  0.13875654281169356
0.494  0.8601373345128562  0.13984385572094576
0.495  0.8590462252765585  0.14093485821533608
0.496  0.8579515280276084  0.14202951948961906
0.497  0.8568532741497511  0.14312780836578073
0.498  0.8557514949990991  0.1442296932935475
0.499  0.8546462219035555  0.14533514235091471
0.5  0.8535374861622455  0.1464441232446971
0.501  0.852425319044946  0.14755660331109946
0.502  0.8513097517915216  0.14867254951630843
0.503  0.8501908156113637  0.1497919284571055
0.504  0.8490685416828312  0.15091470636150017
0.505  0.8479429611526952  0.1520408490893847
0.506  0.8468141051355859  0.15317032213320955
0.507  0.8456820047134455  0.15430309061867933
0.508  0.84454669093498  0.15543911930547016
0.509  0.8434081948151178  0.15657837258796778
0.51  0.8422665473344697  0.15772081449602626
0.511  0.8411217794387906  0.15886640869574797
0.512  0.8399739220384501  0.16001511849028446
0.513  0.8388230060078968  0.16116690682065754
0.514  0.8376690621851359  0.16232173626660237
0.515  0.8365121213712023  0.16347956904743047
0.516  0.8353522143296414  0.16464036702291418
0.517  0.8341893717859895  0.16580409169419175
0.518  0.8330236244272611  0.1669707042046933
0.519  0.8318550029014362  0.1681401653410881
0.52  0.8306835378169526  0.16931243553425201
0.521  0.8295092597422006  0.1704874748602564
0.522  0.8283321992050197  0.17166524304137795
0.523  0.8271523866922023  0.17284569944712877
0.524  0.8259698526489955  0.17402880309530805
0.525  0.8247846274786094  0.17521451265307447
0.526  0.8235967415417281  0.17640278643803914
0.527  0.8224062251560219  0.17759358241937967
0.528  0.821213108595666  0.17878685821897541
0.529  0.8200174245182623  0.17998257024689873
0.53  0.8188192445080579  0.18118066425665127
0.531  0.8176186269206199  0.1823810983728631
0.532  0.8164156191838076  0.18358383532658443
0.533  0.8152102686270727  0.18478883759420703
0.534  0.8140026224806607  0.1859960673984254
0.535  0.8127927278748236  0.18720548670920983
0.536  0.8115806318390367  0.18841705724479077
0.537  0.8103663813012332  0.18963074047265693
0.538  0.8091500230870414  0.19084649761056371
0.539  0.8079316039190372  0.19206428962755528
0.54  0.8067111704160036  0.19328407724499808
0.541  0.8054887690921997  0.19450582093762606
0.542  0.8042644463566431  0.19572948093459921
0.543  0.8030382485123966  0.19695501722057304
0.544  0.8018102217558696  0.19818238953678086
0.545  0.8005804121761277  0.19941155738212807
0.546  0.7993488657542109  0.20064248001429844
0.547  0.7981156283624645  0.20187511645087275
0.548  0.7968807457638764  0.20310942547045932
0.549  0.7956442636114263  0.2043453656138369
0.55  0.794406227447446  0.20558289518510928
0.551  0.7931666827029871  0.20682197225287277
0.552  0.7919256746971989  0.20806255465139523
0.553  0.7906832486367172  0.20930459998180706
0.554  0.7894394496150635  0.2105480656133051
0.555  0.7881943226120518  0.21179290868436787
0.556  0.7869479124932072  0.21303908610398348
0.557  0.7857002640091938  0.21428655455288947
0.558  0.7844514217952522  0.21553527048482446
0.559  0.783201430370647  0.21678519012779277
0.56  0.7819503341381248  0.2180362694853401
0.561  0.7806981773833802  0.2192884643378425
0.562  0.7794450042745347  0.22054173024380624
0.563  0.778190858861623  0.221796022541181
0.564  0.7769357850760885  0.2230512963486843
0.565  0.7756798267302929  0.2243075065671385
0.566  0.7744230275170302  0.22556460788081972
0.567  0.773165431009054  0.2268225547588194
0.568  0.7719070806586149  0.22808130145641697
0.569  0.7706480197970056  0.22934080201646592
0.57  0.7693882916341166  0.23060101027079088
0.571  0.7681279392580036  0.2318618798415975
0.572  0.7668670056344615  0.23312336414289447
0.573  0.7656055336066124  0.23438541638192706
0.574  0.7643435658944981  0.23564798956062355
0.575  0.7630811450946882  0.23691103647705342
0.576  0.7618183136798944  0.23817450972689755
0.577  0.7605551139985947  0.2394383617049308
0.578  0.7592915882746697  0.24070254460651674
0.579  0.7580277786070465  0.24196701042911417
0.58  0.7567637269693545  0.24323171097379626
0.581  0.7554994752095892  0.24449659784678143
0.582  0.7542350650497858  0.24576162246097652
0.583  0.7529705380857055  0.2470267360375321
0.584  0.7517059357865283  0.24829188960740994
0.585  0.7504412994945568  0.24955703401296245
0.586  0.7491766704249315  0.25082211990952435
0.587  0.7479120896653528  0.25208709776701677
0.588  0.7466475981758159  0.25335191787156275
0.589  0.7453832367883544  0.25461653032711595
0.59  0.7441190462067917  0.2558808850571
0.591  0.7428550670065067  0.2571449318060618
0.592  0.7415913600540627  0.2584086200181581
0.593  0.7403280035850774  0.2596719054194904
0.594  0.7390650429709704  0.26093474871799077
0.595  0.73780252283254  0.26219711060595374
0.596  0.7365404876447758  0.2634589517152442
0.597  0.7352789817366806  0.264720232618226
0.598  0.7340180492911026  0.26598091382869343
0.599  0.7327577343445821  0.2672409558028067
0.6  0.7314980807872097  0.26850031894003085
0.601  0.7302391323624955  0.2697589635840782
0.602  0.728980932667256  0.2710168500238548
0.603  0.7277235251515053  0.27227393849440923
0.604  0.7264669531183667  0.2735301891778874
0.605  0.7252112597239914  0.27478556220448763
0.606  0.7239564879774926  0.27604001765342284
0.607  0.7227026807408898  0.27729351555388293
0.608  0.7214498807290686  0.27854601588600364
0.609  0.7201981305097492  0.2797974785818368
0.61  0.7189474725034704  0.28104786352632594
0.611  0.717697948983585  0.28229713055828426
0.612  0.7164496020762668  0.2835452394713762
0.613  0.7152024737605319  0.2847921500151036
0.614  0.7139566058682704  0.28603782189579413
0.615  0.7127120400842922  0.2872822147775946
0.616  0.7114688179463848  0.28852528828346685
0.617  0.7102269808453828  0.2897670019961878
0.618  0.7089865700252503  0.29100731545935266
0.619  0.7077476265831772  0.2922461881783816
0.62  0.7065101914696855  0.29348357962153127
0.621  0.7052743054887491  0.29471944922090837
