ColumnA,ColumnB
0.1,-6.097415813604976
0.1090909090909091,-6.0199602391140825
0.1181818181818182,-5.919558566680507
0.1272727272727273,-5.867919621874761
0.13636363636363638,-5.775537986457584
0.14545454545454545,-5.791879523755105
0.15454545454545454,-5.710107445404321
0.16363636363636364,-5.662447373783241
0.17272727272727273,-5.630100702693118
0.18181818181818182,-5.585292372979676
0.19090909090909092,-5.49204496159066
0.2,-5.505635123969598
0.2090909090909091,-5.416841213429363
0.2181818181818182,-5.391163136302488
0.22727272727272727,-5.377242702537988
0.2363636363636364,-5.290746678750029
0.24545454545454548,-5.3315811249869345
0.2545454545454545,-5.307142215556888
0.26363636363636367,-5.255045349531905
0.2727272727272727,-5.246589569877686
0.28181818181818186,-5.165491653802466
0.2909090909090909,-5.160785240829075
0.3,-5.131072694695203
0.3090909090909091,-5.104118074088873
0.3181818181818182,-5.074691900730873
0.32727272727272727,-5.058702304831142
0.3363636363636364,-5.021844892909812
0.34545454545454546,-5.037538740846298
0.35454545454545455,-5.022156537592715
0.36363636363636365,-4.958665448489197
0.37272727272727274,-4.898898224774017
0.38181818181818183,-4.915401443315758
0.39090909090909093,-4.898525192452354
0.4,-4.881231029513831
0.40909090909090906,-4.86702056320175
0.4181818181818182,-4.84641261670313
0.4272727272727273,-4.823773856492292
0.4363636363636364,-4.782604772171031
0.44545454545454544,-4.811752881179544
0.45454545454545453,-4.764332207305298
0.4636363636363636,-4.792824208387867
0.4727272727272727,-4.727825410200635
0.4818181818181818,-4.721821164433924
0.49090909090909096,-4.713188340390701
0.5,-4.687885808731835
0.509090909090909,-4.6615716866001256
0.5181818181818182,-4.670029567216124
0.5272727272727273,-4.627176980633955
0.5363636363636364,-4.639453618020656
0.5454545454545454,-4.617089975593976
0.5545454545454546,-4.57836306227435
0.5636363636363636,-4.590630386783568
0.5727272727272728,-4.561766603307528
0.5818181818181818,-4.5359249691647605
0.5909090909090908,-4.518723948393812
0.6,-4.518207649773803
0.6090909090909091,-4.514720519774153
0.6181818181818182,-4.50013990346312
0.6272727272727273,-4.526092368580909
0.6363636363636364,-4.4601539558602274
0.6454545454545455,-4.467461510292791
0.6545454545454545,-4.465563290854938
0.6636363636363637,-4.450459115430874
0.6727272727272727,-4.4238794478523875
0.6818181818181819,-4.4415433049159265
0.6909090909090909,-4.408394717956757
0.7,-4.399269535187665
0.7090909090909091,-4.370776231283759
0.7181818181818181,-4.419260196461171
0.7272727272727273,-4.362338607491471
0.7363636363636363,-4.344419918606037
0.7454545454545454,-4.346787914663072
0.7545454545454545,-4.355960834305208
0.7636363636363637,-4.326569671236162
0.7727272727272727,-4.324544643314523
0.7818181818181819,-4.307931043033637
0.7909090909090909,-4.240093672512444
0.8,-4.320104544200055
0.8090909090909091,-4.279844150649584
0.8181818181818182,-4.257580855834718
0.8272727272727273,-4.269623159945916
0.8363636363636364,-4.23876224022081
0.8454545454545455,-4.237733395323454
0.8545454545454545,-4.215950529816946
0.8636363636363636,-4.216777614105619
0.8727272727272727,-4.211732088919886
0.8818181818181818,-4.238061111538349
0.8909090909090909,-4.186492199586673
0.8999999999999999,-4.159042928511798
0.9090909090909091,-4.1760595199177235
0.9181818181818182,-4.136980399999915
0.9272727272727272,-4.174077753990255
0.9363636363636364,-4.146194941627973
0.9454545454545455,-4.151900764746945
0.9545454545454546,-4.110715756593629
0.9636363636363636,-4.1144812368662915
0.9727272727272728,-4.103055190219973
0.9818181818181818,-4.092377276866858
0.990909090909091,-4.110613087508231
1.0,-4.0719185800177256
